,max_temp,min_temp,pres,date,lat,long
0,26.6,9.91,0.0,2003-10-14,-31.5307248,-58.2492951
1,28.8,13.9,0.0,2003-10-15,-31.5307248,-58.2492951
2,31.99,15.93,0.0,2003-10-16,-31.5307248,-58.2492951
3,31.14,18.04,0.0,2003-10-17,-31.5307248,-58.2492951
4,33.55,22.89,6.04,2003-10-18,-31.5307248,-58.2492951
5,25.58,14.17,0.26,2003-10-19,-31.5307248,-58.2492951
6,23.23,12.0,0.69,2003-10-20,-31.5307248,-58.2492951
7,24.39,13.4,1.64,2003-10-21,-31.5307248,-58.2492951
8,26.8,9.52,0.17,2003-10-22,-31.5307248,-58.2492951
9,28.88,13.66,0.0,2003-10-23,-31.5307248,-58.2492951
10,31.92,16.96,0.88,2003-10-24,-31.5307248,-58.2492951
11,28.11,21.68,1.42,2003-10-25,-31.5307248,-58.2492951
12,25.62,17.76,1.38,2003-10-26,-31.5307248,-58.2492951
13,22.68,11.48,0.0,2003-10-27,-31.5307248,-58.2492951
14,26.3,11.46,0.0,2003-10-28,-31.5307248,-58.2492951
15,27.9,12.77,0.0,2003-10-29,-31.5307248,-58.2492951
16,33.03,16.83,0.0,2003-10-30,-31.5307248,-58.2492951
17,30.76,12.69,19.5,2003-10-31,-31.5307248,-58.2492951
18,20.77,8.46,0.06,2003-11-01,-31.5307248,-58.2492951
19,19.8,6.5,0.0,2003-11-02,-31.5307248,-58.2492951
20,23.8,8.27,0.0,2003-11-03,-31.5307248,-58.2492951
21,23.63,12.2,0.0,2003-11-04,-31.5307248,-58.2492951
22,26.34,14.62,0.0,2003-11-05,-31.5307248,-58.2492951
23,28.12,12.47,0.0,2003-11-06,-31.5307248,-58.2492951
24,30.16,16.23,0.0,2003-11-07,-31.5307248,-58.2492951
25,31.25,18.03,0.0,2003-11-08,-31.5307248,-58.2492951
26,28.76,18.18,7.19,2003-11-09,-31.5307248,-58.2492951
27,32.23,17.09,0.0,2003-11-10,-31.5307248,-58.2492951
28,37.11,21.67,0.42,2003-11-11,-31.5307248,-58.2492951
29,34.7,19.25,21.18,2003-11-12,-31.5307248,-58.2492951
30,21.68,11.11,0.0,2003-11-13,-31.5307248,-58.2492951
31,25.83,10.99,0.0,2003-11-14,-31.5307248,-58.2492951
32,29.93,15.17,0.04,2003-11-15,-31.5307248,-58.2492951
33,30.36,18.12,7.65,2003-11-16,-31.5307248,-58.2492951
34,29.52,17.61,5.52,2003-11-17,-31.5307248,-58.2492951
35,20.39,15.22,28.98,2003-11-18,-31.5307248,-58.2492951
36,27.98,13.85,1.45,2003-11-19,-31.5307248,-58.2492951
37,27.42,12.42,0.0,2003-11-20,-31.5307248,-58.2492951
38,28.66,13.5,0.0,2003-11-21,-31.5307248,-58.2492951
